iter	RMSE
0	0.5902518464
1	0.5717328263
2	0.5548766897
3	0.5383835753
4	0.5230288952
5	0.5080056348
6	0.4943460948
7	0.4811259238
8	0.4677565124
9	0.4558176218
10	0.4450266004
11	0.43346855
12	0.4227475994
13	0.4132877364
14	0.4038109557
15	0.3945918564
16	0.3863073988
17	0.378729997
18	0.3709394551
19	0.3632644053
20	0.3561537531
21	0.3500547764
22	0.3435761706
23	0.3376991682
24	0.3325341434
25	0.3267235912
26	0.3215528843
27	0.3167581859
28	0.3120733923
29	0.307783056
30	0.3035396367
31	0.2995280326
32	0.2961043463
33	0.2928630425
34	0.289927631
35	0.2869282948
36	0.2840969618
37	0.2815719394
38	0.2789781183
39	0.2769542097
40	0.2750153498
41	0.2726802783
42	0.2706512469
43	0.2686998298
44	0.2668956149
45	0.265142982
46	0.2635917445
47	0.2620998309
48	0.2607877156
49	0.2594894898
50	0.2583887761
51	0.257132538
52	0.2559813922
53	0.2547502388
54	0.2537527596
55	0.2528363584
56	0.2517027004
57	0.2507883534
58	0.2498342335
59	0.2490765763
60	0.2481485112
61	0.2474813839
62	0.2467234029
63	0.2458114456
64	0.2449616478
65	0.2440303802
66	0.2434200942
67	0.2427988473
68	0.2422883836
69	0.2416112911
70	0.2410447157
71	0.2404417569
72	0.2400392565
73	0.2395369777
74	0.2390609288
75	0.2385681911
76	0.2380097841
77	0.2375687533
78	0.2370937612
79	0.2366012041
80	0.236140475
81	0.2357122068
82	0.2353425859
83	0.2348229974
84	0.2344872156
85	0.2342120892
86	0.233869509
87	0.2333689928
88	0.2330423221
89	0.2326897177
90	0.232350295
91	0.2320357722
92	0.231687331
93	0.2312743416
94	0.2309305552
95	0.2306644887
96	0.2304382306
97	0.2300211727
98	0.2298273412
99	0.2295863117
100	0.2293356664
101	0.229124293
102	0.2288327587
103	0.2285578125
104	0.2283466258
105	0.2281375284
106	0.2279070105
107	0.2276453928
108	0.2273228206
109	0.2270255101
110	0.2267535694
111	0.2265671266
112	0.226352171
113	0.2261721145
114	0.2259628151
115	0.2257860358
116	0.2256036401
117	0.2254467905
118	0.2252873037
119	0.2250831887
120	0.2249148345
121	0.2246230101
122	0.2243401986
123	0.2240250625
124	0.2236876438
125	0.2235849751
126	0.2234019453
127	0.2232782795
128	0.2231527023
129	0.2229279376
130	0.2225538519
131	0.2223423062
132	0.2221990818
133	0.2220792778
134	0.2220321757
135	0.2218493228
136	0.2217135592
137	0.2216544616
138	0.2215014213
139	0.2212285574
140	0.2210484238
141	0.2208762931
142	0.2207481664
143	0.2205407837
144	0.2203872961
145	0.2202184929
146	0.2200473094
147	0.2198307493
148	0.2196315038
149	0.2195045969
150	0.2194016493
151	0.2192198975
152	0.2190427479
153	0.21890639
154	0.2187658425
155	0.2186427739
156	0.2184036614
157	0.218267455
158	0.2181520703
159	0.2180773109
160	0.2179465155
