,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
1,9400000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_252_m_420_et._4463290923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,25.2,5.3,4,0,1,0,17259665.500506587,1,1,0,24213976.199476168,20,0.15789473684210525,8.0,4
2,29625700.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_845_m_1425_et._7761521886?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,84.5,17.8,14,0,1,0,17259665.500506587,2,1,0,24213976.199476168,25,0.5416666666666666,8.0,4
3,22990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_699_m_1825_et._7495690370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,69.9,10.2,18,0,1,1,8348267.076508711,1,0,1,24213976.199476168,25,0.7083333333333334,6.0,4
4,50000000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_42_m_2672_et._7637426111?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,42.0,8.8,26,1,1,2,17259665.500506587,4,4,0,24213976.199476168,72,0.352112676056338,8.0,4
6,15944492.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_266_m_1920_et._7827716585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,26.6,5.6,19,0,1,0,17259665.500506587,1,1,3,24213976.199476168,20,1.1368421052631579,8.0,4
7,23990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_578_m_88_et._7584547510?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,57.8,25.0,8,1,0,0,9870197.894296648,1,0,2,24213976.199476168,8,1.4,66.0,2
8,44414140.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_751_m_710_et._2526750223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,75.1,7.8,7,1,1,0,17259665.500506587,1,1,3,24213976.199476168,10,0.6666666666666666,8.0,4
11,22200000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_443_m_3034_et._7749646563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,44.3,16.0,30,1,0,2,17259665.500506587,2,4,3,24213976.199476168,34,0.8787878787878788,2.0,4
12,38500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_88_m_59_et._7772458173?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,88.0,11.0,5,0,1,3,17259665.500506587,2,2,3,24213976.199476168,9,0.5,0.0,4
13,29500000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_969_m_723_et._7648547447?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,96.9,15.8,7,2,1,2,17259665.500506587,2,2,3,24213976.199476168,23,0.2727272727272727,10.0,3
14,19400000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_681_m_99_et._7655971018?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,68.1,16.7,9,1,1,2,14024004.145800991,0,1,0,24213976.199476168,9,1.4,9.0,4
15,41700000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_949_m_1220_et._7778681728?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,94.9,12.9,12,0,1,2,14024004.145800991,4,4,3,24213976.199476168,20,0.5789473684210527,3.0,4
16,24500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_569_m_58_et._7737252102?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,56.9,5.0,5,0,1,2,9870197.894296648,1,0,2,24213976.199476168,8,0.5714285714285714,63.0,0
19,31500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_764_m_810_et._4039222583?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,76.4,11.0,8,1,1,1,8348267.076508711,1,1,2,24213976.199476168,10,0.9333333333333333,21.0,3
20,14485697.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_185_m_2764_et._7787230263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,18.5,3.9,27,0,1,0,17259665.500506587,1,1,3,24213976.199476168,64,0.4126984126984127,8.0,4
21,34400000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_66_m_15_et._7509718868?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,66.0,7.0,1,0,1,1,9870197.894296648,0,0,0,24213976.199476168,5,0.0,97.0,2
23,14000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_573_m_425_et._7630962943?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,57.3,10.0,4,1,1,0,8348267.076508711,2,1,0,24213976.199476168,25,0.125,13.0,3
24,10590000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_209_m_1026_et._7397165675?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,20.9,4.4,10,0,1,2,17259665.500506587,1,1,3,24213976.199476168,26,0.36,0.0,4
25,6005705.0,https://www.avito.ru/moskva_zelenograd/kvartiry/kvartira-studiya_235_m_718_et._7817649806?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,23.5,4.9,7,0,0,0,17259665.500506587,1,1,0,24213976.199476168,18,0.35294117647058826,8.0,4
26,9600000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_2629_et._7389330788?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,17.0,3.6,26,0,0,0,17259665.500506587,1,1,3,24213976.199476168,29,0.8928571428571429,8.0,4
27,10500000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_19_et._7508301374?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,33.0,6.7,1,0,1,0,8348267.076508711,1,0,0,24213976.199476168,9,0.0,51.0,0
28,24708935.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_446_m_1434_et._7724751689?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,44.6,20.5,14,0,1,0,14024004.145800991,1,4,3,24213976.199476168,34,0.3939393939393939,7.0,4
29,11900000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_246_m_1030_et._7508966488?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,24.6,5.2,10,0,1,2,17259665.500506587,2,1,3,24213976.199476168,30,0.3103448275862069,2.0,4
31,20500000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_256_m_512_et._7721910938?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,25.6,5.4,5,0,1,3,14024004.145800991,1,1,3,24213976.199476168,12,0.36363636363636365,1.0,4
33,18200000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_57_m_1616_et._7654324605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,57.0,10.0,16,0,1,0,17259665.500506587,1,1,0,24213976.199476168,16,1.4,8.0,4
34,26000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_746_m_1414_et._7730567520?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,74.6,9.5,14,1,1,1,8348267.076508711,2,0,0,24213976.199476168,14,1.4,51.0,0
35,10950000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_1324_et._7627864203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,36.6,18.5,13,0,1,0,14024004.145800991,2,1,0,24213976.199476168,24,0.5217391304347826,7.0,4
37,26950000.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_53_m_228_et._7839171551?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,53.0,5.0,2,0,1,3,17259665.500506587,2,2,3,24213976.199476168,28,0.037037037037037035,6.0,4
38,17650000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_342_m_524_et._7708913305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,34.2,18.0,5,0,1,2,17259665.500506587,2,1,3,24213976.199476168,24,0.17391304347826086,0.0,4
40,57783536.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_839_m_2835_et._7275176000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,83.9,17.6,28,0,1,0,17259665.500506587,1,1,0,24213976.199476168,35,0.7941176470588235,8.0,4
41,13800000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_1217_et._7701820243?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,38.0,8.0,12,0,1,1,8348267.076508711,2,0,0,24213976.199476168,17,0.6875,41.0,1
42,12850000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_383_m_1022_et._7675990062?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,38.3,10.4,10,1,1,0,8348267.076508711,1,1,0,24213976.199476168,22,0.42857142857142855,31.0,1
43,20517974.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_677_m_2225_et._7729590735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,67.7,14.2,22,0,1,0,17259665.500506587,2,1,0,24213976.199476168,25,0.875,8.0,4
44,42450000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_831_m_1652_et._7616062858?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,83.1,21.0,16,1,0,3,17259665.500506587,2,2,3,24213976.199476168,52,0.29411764705882354,1.0,4
46,10092432.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_294_m_2021_et._7741218298?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,29.4,6.2,20,0,1,0,17259665.500506587,4,4,3,24213976.199476168,21,1.14,8.0,4
48,20785500.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_766_m_55_et._7759652701?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,76.6,7.9,5,1,1,0,9870197.894296648,0,0,0,24213976.199476168,5,1.1,68.0,2
50,33400000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_766_m_717_et._7473617982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,76.6,9.0,7,1,1,0,17259665.500506587,1,1,0,24213976.199476168,17,0.375,11.0,3
51,25700000.0,https://www.avito.ru/moskva/kvartiry/5-k._kvartira_928_m_45_et._7368006223?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,92.8,7.0,4,1,1,2,9870197.894296648,1,0,2,24213976.199476168,5,0.75,97.0,2
52,17500000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37_m_45_et._7737772741?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,37.0,7.0,4,0,0,3,9870197.894296648,0,0,0,24213976.199476168,5,0.75,66.0,2
53,23900000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_688_m_214_et._7591326930?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,68.8,14.0,2,0,1,0,9870197.894296648,1,1,0,24213976.199476168,14,0.07692307692307693,26.0,1
54,53875250.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_715_m_1134_et._7660662770?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,71.5,5.2,11,0,0,0,14024004.145800991,1,1,3,24213976.199476168,34,0.30303030303030304,7.0,4
56,22463700.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_399_m_2743_et._7748050439?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,39.9,16.1,27,0,1,0,17259665.500506587,1,1,0,24213976.199476168,43,0.6190476190476191,8.0,4
57,27415638.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_468_m_516_et._7750197241?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,46.8,5.0,5,0,1,0,14024004.145800991,1,1,0,24213976.199476168,16,0.26666666666666666,7.0,4
60,13300000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_392_m_812_et._7771841129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,39.2,7.0,8,1,1,2,9540424.337830925,1,0,2,24213976.199476168,12,0.6363636363636364,60.0,0
61,8950000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_336_m_824_et._7684551026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,33.6,14.6,8,0,1,0,14024004.145800991,1,1,3,24213976.199476168,24,0.30434782608695654,7.0,4
62,12000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_59_et._7603650286?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,47.0,6.1,5,1,1,2,8348267.076508711,1,0,0,24213976.199476168,9,0.5,50.0,0
63,32500800.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_74_m_3037_et._3446698610?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,74.0,8.3,30,0,1,0,17259665.500506587,1,4,0,24213976.199476168,37,0.8055555555555556,8.0,4
64,58500000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1249_m_1729_et._7767148650?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,124.9,26.3,17,0,1,0,14024004.145800991,1,1,3,24213976.199476168,29,0.5714285714285714,7.0,4
65,11000000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1017_et._7760649397?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,39.0,8.5,10,0,0,0,8348267.076508711,1,1,0,24213976.199476168,17,0.5625,34.0,1
66,59597180.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_958_m_933_et._4578967735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,95.8,20.1,9,0,1,0,17259665.500506587,2,2,0,24213976.199476168,33,0.25,8.0,4
68,16000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_518_m_1112_et._7356044599?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,51.8,9.0,11,1,1,1,8348267.076508711,1,0,0,24213976.199476168,12,1.0909090909090908,38.0,1
69,20500000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_35_m_416_et._7764723063?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,35.0,15.0,4,0,1,3,14024004.145800991,1,1,3,24213976.199476168,16,0.2,2.0,4
71,29250000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_625_m_1829_et._7767063060?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,62.5,13.1,18,0,1,0,14024004.145800991,1,1,3,24213976.199476168,29,0.6071428571428571,7.0,4
72,15063200.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_396_m_820_et._7566870664?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,39.6,8.4,8,0,1,0,17259665.500506587,1,1,0,24213976.199476168,20,0.3684210526315789,8.0,4
73,55900000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_76_m_4656_et._7807172123?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,76.0,35.0,46,0,1,3,17259665.500506587,2,2,3,24213976.199476168,56,0.8181818181818182,8.0,4
74,14700000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_828_et._7753376365?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,20.0,4.2,8,0,1,0,17259665.500506587,2,2,3,24213976.199476168,28,0.25925925925925924,8.0,4
75,11184996.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_257_m_1723_et._7778127271?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,25.7,5.4,17,0,1,0,14024004.145800991,1,1,0,24213976.199476168,23,0.7272727272727273,7.0,4
76,15900000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_732_m_222_et._7758298906?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,73.2,10.0,2,1,1,2,8348267.076508711,1,1,0,24213976.199476168,22,0.047619047619047616,27.0,1
77,11100000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_289_m_44_et._7504359949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,28.9,6.1,4,0,1,3,9870197.894296648,0,0,0,24213976.199476168,4,1.1,47.0,0
79,9805333.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_28_m_1024_et._7771686980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,28.0,5.9,10,0,1,0,17259665.500506587,1,1,0,24213976.199476168,24,0.391304347826087,8.0,4
80,6500000.0,https://www.avito.ru/moskva/kvartiry/dolya_v_3-k._kvartire_887_m_88_et._7817870182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,88.7,12.0,8,1,1,0,9870197.894296648,1,0,2,24213976.199476168,8,1.4,84.0,2
