,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
8866,5350000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_503_m_19_et._2234754007?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,50.3,8.8,1,1,0,1,8348267.076508711,1,0,0,6531166.464112665,9,0.0,38.0,1
8867,3000000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_315_m_23_et._7548927915?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,31.5,6.6,2,0,1,1,9870197.894296648,0,0,0,6531166.464112665,3,0.5,12.0,3
8868,6700000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_389_m_722_et._7729621409?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,38.9,11.9,7,0,0,1,9870197.894296648,1,1,3,6531166.464112665,22,0.2857142857142857,6.0,4
8869,3900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_427_m_617_et._7523447272?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,42.7,14.3,6,0,0,2,8348267.076508711,1,1,0,6531166.464112665,17,0.3125,1.0,4
8871,5550000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_68_m_79_et._7666220321?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,68.0,7.5,7,1,1,1,8348267.076508711,1,0,0,6531166.464112665,9,0.8999999999999999,44.0,1
8872,8000000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_38_m_710_et._4313830888?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,38.0,10.0,7,0,1,3,9870197.894296648,1,1,3,6531166.464112665,10,0.6666666666666666,47.0,0
8873,7000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_608_m_55_et._7748557342?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGT25VTlE5Q29LcnlmV1FjIjt9l5qkDj8AAAA,60.8,6.0,5,1,1,1,8348267.076508711,0,0,0,6531166.464112665,5,1.1,57.0,0
8874,6700000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_50_m_514_et._7470605496?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,50.0,6.0,5,0,1,0,14024004.145800991,1,1,3,6531166.464112665,14,0.3076923076923077,5.0,4
8875,4400000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_294_m_99_et._7679301198?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,29.4,5.2,9,0,1,0,8348267.076508711,1,0,0,6531166.464112665,9,1.4,38.0,1
8876,15700000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_773_m_1417_et._7779142020?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,77.3,23.8,14,2,0,0,9870197.894296648,1,1,0,6531166.464112665,17,0.8125,20.0,3
