Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Стоимость ремонта,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Запланирован снос
33570000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_668_m_1222_et._7524341899?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,66.8 м²,15 м²,38.7 м²,12 из 22,лоджия,"гардеробная, панорамные окна",изолированные,3.1 м,совмещенный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2006,22,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
17900000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_657_m_521_et._7710115778?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,65.7 м²,12 м²,42 м²,5 из 21,,"гардеробная, панорамные окна","изолированные, смежные",3 м,раздельный,"во двор, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,монолитный,2018,21,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,,
49990000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_852_m_921_et._7746335876?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,85.2 м²,9 м²,,9 из 21,,панорамные окна,изолированные,,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2024,21,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
15800000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_547_m_44_et._7591150087?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,2,54.7 м²,10 м²,34 м²,4 из 4,балкон,,изолированные,3.2 м,раздельный,во двор,требует ремонта,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,кирпичный,1958,4,нет,нет,газ,детская площадка,открытая во дворе,от 903 000 ₽ за 54.7 м²,,,,,,
160000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_131_m_613_et._7497816963?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,131 м²,12 м²,,6 из 13,,,изолированные,,,,евро,,,,свободная,,монолитно-кирпичный,,13,,,,,,,,,,,,
10950000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_1324_et._7627864203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,36.6 м²,18.5 м²,10.7 м²,13 из 24,,,изолированные,2.9 м,совмещенный,во двор,,,,,переуступка,,монолитно-кирпичный,,24,2,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,от 219 000 ₽ за 36.6 м²,чистовая,ЖК «Лучи»,Корпус 3 (2 этап),ДДУ по ФЗ 214,Сдача в 4 кв. 2025,
38200000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_925_m_1014_et._7320870588?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,92.5 м²,21 м²,49 м²,10 из 14,балкон,гардеробная,"изолированные, смежные",3.1 м,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитный,2024,14,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
34940000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_544_m_2224_et._7739877088?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,54.4 м²,25 м²,20 м²,22 из 24,,"гардеробная, панорамные окна",изолированные,3.1 м,совмещенный,"во двор, на улицу",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2017,24,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
13800000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_30_m_621_et._7634429057?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,30 м²,,14.9 м²,6 из 21,,панорамные окна,,3 м,совмещенный,"на улицу, на солнечную сторону",,,,,переуступка,возможна ипотека,монолитный,,21,2,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,от 179 000 ₽ за 30 м²,чистовая,ЖК «PAVE»,Корпус 5 (1 этап),ДДУ по ФЗ 214,Сдача в 4 кв. 2028,
35000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_897_m_19_et._7368188426?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,3,89.7 м²,5.4 м²,64.8 м²,1 из 9,,,изолированные,3.8 м,раздельный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2021,9,нет,нет,,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,от 1 480 000 ₽ за 89.7 м²,,,,,,
165000000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_128_m_2832_et._7778878450?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,128 м²,13 м²,,28 из 32,,,изолированные,3.2 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2023,32,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
140299368.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_1892_m_4785_et._7787507042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,189.2 м²,,140.4 м²,47 из 85,,,,,,,,,,,,,монолитный,,85,,,,,,,без отделки,Башня «ОКО»,,другое,Сдан 2 кв. 2015,
18950000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_347_m_914_et._7765787400?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,1,34.7 м²,10 м²,20 м²,9 из 14,лоджия,,,2.6 м,совмещенный,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,панельный,1970,14,2,,"мусоропровод, газ","детская площадка, спортивная площадка",открытая во дворе,,,,,,,
21529728.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_352_m_1958_et._7830392065?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,1,35.2 м²,14.5 м²,11.8 м²,19 из 58,,,,3.2 м,совмещенный,во двор,,,,,,,монолитный,,58,4,4,,"закрытая территория, детская площадка, спортивная площадка",,,предчистовая,ЖК «Северный порт. Береговые кварталы»,Корпус 7.3,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,
17662089.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_2349_et._7787554638?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,1,35 м²,,,23 из 49,,,,2.7 м,,,,,,,,,монолитный,,49,1,,,,подземная,,без отделки,ЖК «Level Южнопортовая»,Корпус 8,ДДУ по ФЗ 214,Сдача в 1 кв. 2029,
42000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_695_m_1825_et._7746706147?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,69.5 м²,7 м²,,18 из 25,,,изолированные,,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитный,2021,25,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
14900000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_407_m_313_et._7715680952?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,40.7 м²,6.3 м²,25.6 м²,3 из 13,балкон,,изолированные,2.9 м,совмещенный,на улицу,,,,,переуступка,,монолитный,,13,1,1,,"закрытая территория, детская площадка",подземная,,без отделки,ЖК «LIFE Варшавская»,,ДДУ по ФЗ 214,"Сдача в 1 кв. 2021 — 4 кв. 2026, есть сданные",
5550000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_19_et._7551294838?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,21 м²,,18 м²,1 из 9,балкон,,,2.8 м,совмещенный,во двор,косметический,есть,,,свободная,возможна ипотека,панельный,1996,9,нет,1,мусоропровод,"детская площадка, спортивная площадка",открытая во дворе,от 179 000 ₽ за 21 м²,,,,,,да
42000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_863_m_2936_et._7730190832?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,86.3 м²,30 м²,38 м²,29 из 36,,гардеробная,"изолированные, смежные",3 м,совмещенный,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,,монолитный,2008,36,,4,консьерж,детская площадка,"подземная, за шлагбаумом во дворе",,,,,,,
300000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_175_m_88_et._7714029330?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,175 м²,18 м²,,8 из 8,,,изолированные,3.5 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2002,8,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
59990000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_565_m_77_et._7404319407?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,56.5 м²,3.5 м²,,7 из 7,,,изолированные,3.5 м,совмещенный,"во двор, на улицу",дизайнерский,,,,свободная,возможна ипотека,кирпичный,1900,7,1,нет,,,,,,,,,,
15900000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_29_m_541_et._7776974901?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,29 м²,,12.5 м²,5 из 41,лоджия,,,,совмещенный,на улицу,требует ремонта,,,,свободная,возможна ипотека,монолитный,,41,,,,,,,,,,,,
52960000.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_659_m_513_et._7707894309?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,65.9 м²,15 м²,41 м²,5 из 13,,гардеробная,изолированные,3.2 м,совмещенный,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",свободная,возможна ипотека,монолитный,2016,13,2,1,консьерж,закрытая территория,подземная,,,,,,,
35670000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_906_m_1735_et._7770050256?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,90.6 м²,20 м²,,17 из 35,,,изолированные,,раздельный,на улицу,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2025,35,4,4,консьерж,закрытая территория,подземная,,,,,,,
23990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_578_m_88_et._7584547510?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,2,57.8 м²,25 м²,20 м²,8 из 8,балкон,,изолированные,3 м,раздельный,"на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",свободная,возможна ипотека,кирпичный,1959,8,1,нет,газ,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,,,,,,,
124151697.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_1566_m_6085_et._7787476934?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,156.6 м²,,107.2 м²,60 из 85,,,,,,,,,,,,,монолитный,,85,,,,,,,без отделки,Башня «ОКО»,,другое,Сдан 2 кв. 2015,
27151500.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_345_m_1214_et._7768339066?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,34.5 м²,,,12 из 14,,,,3.1 м,,,,,,,,,монолитный,,14,1,1,,"закрытая территория, детская площадка, спортивная площадка",,,без отделки,ЖК «Остров»,1 корпус (Квартал 12),ДДУ по ФЗ 214,Сдача в 1 кв. 2029,
63000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_25_et._7596137585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,80 м²,10 м²,,2 из 5,,,изолированные,,раздельный,во двор,дизайнерский,,,,свободная,,кирпичный,1933,5,1,,,,за шлагбаумом во дворе,,,,,,,
26500000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_956_m_217_et._7584325607?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,4,95.6 м²,14 м²,79 м²,2 из 17,балкон,,изолированные,2.6 м,раздельный,на улицу,требует ремонта,,,,свободная,,панельный,,17,1,1,,,,от 1 577 000 ₽ за 95.6 м²,,,,,,
145900000.0,https://www.avito.ru/moskva/kvartiry/svob._planirovka_2197_m_510_et._2443953558?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,свободная планировка,219.7 м²,,,5 из 10,лоджия,"гардеробная, панорамные окна",,3.3 м,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитный,2008,10,2,нет,консьерж,"закрытая территория, детская площадка","подземная, за шлагбаумом во дворе",от 3 625 000 ₽ за 219.7 м²,,,,,,
9100000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_421_m_517_et._7682019720?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,1,42.1 м²,8.4 м²,19.8 м²,5 из 17,лоджия,гардеробная,,2.7 м,совмещенный,во двор,косметический,,"кухня, спальные места",холодильник,свободная,возможна ипотека,панельный,2007,17,1,1,"консьерж, мусоропровод","детская площадка, спортивная площадка",открытая во дворе,от 360 000 ₽ за 42.1 м²,,,,,,
18484312.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_259_m_1521_et._7771022987?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,25.9 м²,,14.8 м²,15 из 21,,,,2.9 м,совмещенный,,,,,,договор долевого участия,возможна ипотека,монолитно-кирпичный,,21,2,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,предчистовая,ЖК «Portland»,Корпус 5 (Этап 2),ДДУ по ФЗ 214,Сдача в 1 кв. 2028,
54350000.0,https://www.avito.ru/moskva/kvartiry/4-k._apartamenty_144_m_1014_et._7762391770?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,144 м²,14 м²,,10 из 14,лоджия,,изолированные,,раздельный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2023,14,2,2,консьерж,закрытая территория,подземная,,,,,,,
18432000.0,https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_384_m_521_et._4254429382?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,1,38.4 м²,,,5 из 21,,,,3 м,,,,,,,,возможна ипотека,монолитный,,21,4,4,,"закрытая территория, детская площадка, спортивная площадка",подземная,,без отделки,Комплекс апартаментов N'ICE LOFT,Корпус 6,другое,Сдан 2 кв. 2025,
53000000.0,https://www.avito.ru/moskva/kvartiry/7-k._kvartira_134_m_22_et._7520167478?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,7,134 м²,14 м²,80.4 м²,2 из 2,,гардеробная,изолированные,3 м,раздельный,во двор,косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,кирпичный,1917,2,нет,нет,газ,,открытая во дворе,,,,,,,
73000000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_837_m_1732_et._4810001622?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,83.7 м²,12 м²,,17 из 32,,,изолированные,,совмещенный,,евро,,,,свободная,,монолитный,,32,,,,,,,,,,,,
24900000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_617_m_25_et._7348385240?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,61.7 м²,,,2 из 5,,панорамные окна,,,,"во двор, на улицу",,,,,переуступка,возможна ипотека,монолитно-кирпичный,,5,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,от 1 242 000 ₽ за 61.7 м²,без отделки,Жилой квартал «Shagal (Шагал)»,Очередь 2 Корпус 5.1,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,
58650000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_69_m_1232_et._7746265253?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,69 м²,10 м²,,12 из 32,,,изолированные,3.2 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2023,32,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
57840000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1446_m_329_et._4589226360?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,144.6 м²,22 м²,,3 из 29,,,изолированные,3.2 м,,,требует ремонта,,,,свободная,,кирпичный,,29,,,,,,,,,,,,
16000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_38_m_112_et._7540060299?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,2,38 м²,6.5 м²,24 м²,1 из 12,,,смежные,2.5 м,совмещенный,,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, посудомоечная машина",свободная,,блочный,1971,12,1,нет,,,,,,,,,,
185000000.0,https://www.avito.ru/moskva/kvartiry/4-k._apartamenty_195_m_1315_et._7746815417?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,195 м²,30 м²,,13 из 15,,,изолированные,3.2 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитный,2017,15,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
57000000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_81_m_1519_et._4810026060?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,81 м²,12 м²,,15 из 19,,,изолированные,,совмещенный,,требует ремонта,,,,свободная,,монолитный,,19,,,,,,,,,,,,
40205913.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_837_m_844_et._4242682448?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,83.7 м²,26.6 м²,38.7 м²,8 из 44,,панорамные окна,,2.9 м,,,,,,,,,монолитный,,44,,,,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая",,предчистовая,ЖК «Среда на Кутузовском»,Корпус 4.1,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,
33400000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_766_m_717_et._7473617982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,76.6 м²,9 м²,,7 из 17,балкон,гардеробная,изолированные,2.7 м,раздельный,во двор,косметический,,кухня,,свободная,,монолитный,2014,17,1,1,мусоропровод,"детская площадка, спортивная площадка",открытая во дворе,от 654 000 ₽ за 76.6 м²,,,,,,
