Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Стоимость ремонта,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Запланирован снос
3850000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_179_m_15_et._7765794856?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,студия,17.9 м²,,,1 из 5,,,,,совмещенный,во двор,дизайнерский,,,,свободная,,кирпичный,,5,,,,"детская площадка, спортивная площадка",наземная многоуровневая,,,,,,,
14000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_581_m_29_et._7707555403?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,58.1 м²,6 м²,42 м²,2 из 9,лоджия,,"изолированные, смежные",2.6 м,раздельный,,косметический,,,,свободная,возможна ипотека,панельный,1968,9,1,,,,,,,,,,,
26700000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_826_m_1228_et._7684388491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,4,82.6 м²,8.8 м²,52 м²,12 из 28,,,изолированные,3.2 м,"совмещенный, раздельный",,,,,,переуступка,,монолитно-кирпичный,,28,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,чистовая,ЖК «ЗИЛАРТ»,Лот. 18,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,
14823700.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_351_m_1012_et._7678802528?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,1,35.1 м²,9.7 м²,20 м²,10 из 12,,,,,совмещенный,во двор,дизайнерский,,"кухня, хранение одежды","кондиционер, холодильник",свободная,возможна ипотека,блочный,1969,12,2,нет,газ,детская площадка,,,,,,,,
2050000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_12_m_412_et._7768109687?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,студия,12 м²,,12 м²,4 из 12,,,,3.2 м,совмещенный,,косметический,,,,свободная,,блочный,1969,12,,,,,,,,,,,,
25900000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_55_m_616_et._7659489610?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,55 м²,6 м²,38 м²,6 из 16,,,изолированные,2.7 м,совмещенный,,дизайнерский,,,,свободная,возможна ипотека,панельный,1987,16,,,,,открытая во дворе,,,,,,,
3500000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_114_et._7724705183?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,студия,12 м²,,,1 из 14,,,,2.6 м,совмещенный,во двор,требует ремонта,,,,свободная,,панельный,1989,14,2,нет,мусоропровод,"детская площадка, спортивная площадка",,от 198 000 ₽ за 12 м²,,,,,,
44000000.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_617_m_2278_et._7729525043?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,2,61.7 м²,15 м²,,22 из 78,,панорамные окна,изолированные,,совмещенный,"на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,монолитный,2020,78,4,2,консьерж,закрытая территория,подземная,,,,,,,
29800000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_82_m_1423_et._7748271357?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,82 м²,17 м²,,14 из 23,,,изолированные,,совмещенный,на солнечную сторону,требует ремонта,,,,свободная,,монолитный,2020,23,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,от 1 353 000 ₽ за 82 м²,,,,,,
30000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_487_m_59_et._7519021573?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,2,48.7 м²,7.8 м²,,5 из 9,балкон,,изолированные,,раздельный,на улицу,требует ремонта,,"кухня, спальные места",,свободная,возможна ипотека,кирпичный,,9,1,,газ,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,от 804 000 ₽ за 48.7 м²,,,,,,
23000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_507_m_1721_et._7601499318?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,2,50.7 м²,15 м²,,17 из 21,,,"изолированные, смежные",,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитный,,21,1,1,"консьерж, мусоропровод, газ","закрытая территория, детская площадка, спортивная площадка",,,,,,,,
12500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_775_m_1017_et._7742487175?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,77.5 м²,12 м²,43 м²,10 из 17,лоджия,,изолированные,2.8 м,"совмещенный, раздельный","во двор, на улицу",косметический,,,,свободная,,панельный,2015,17,1,,,"детская площадка, спортивная площадка",,,,,,,,
2953000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_167_m_25_et._7741463776?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,студия,16.7 м²,,7.7 м²,2 из 5,,,,3 м,совмещенный,во двор,косметический,,,,свободная,,кирпичный,1957,5,нет,нет,,детская площадка,открытая во дворе,,,,,,,
12000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_485_m_1012_et._7558994064?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,2,48.5 м²,6.9 м²,33.6 м²,10 из 12,лоджия,,изолированные,2.6 м,раздельный,во двор,косметический,,,,свободная,возможна ипотека,панельный,1971,12,1,1,"мусоропровод, газ",,,,,,,,,
30000000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_406_m_1229_et._7757942986?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,1,40.6 м²,12.6 м²,15.4 м²,12 из 29,балкон,,,,совмещенный,,дизайнерский,,,кондиционер,свободная,возможна ипотека,монолитный,2023,29,1,1,,,,,,,,,,
12150000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_39_et._7759829205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,1,33 м²,6.7 м²,18.8 м²,3 из 9,,,,,раздельный,во двор,косметический,,,,свободная,возможна ипотека,панельный,1976,9,1,1,,детская площадка,открытая во дворе,от 282 000 ₽ за 33 м²,,,,,,
13500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_632_m_214_et._7623671890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,63.2 м²,10 м²,35 м²,2 из 14,лоджия,,изолированные,,раздельный,"во двор, на улицу",косметический,,,,альтернативная,возможна ипотека,панельный,1986,14,1,1,,,открытая во дворе,от 540 000 ₽ за 63.2 м²,,,,,,
12900000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_443_m_99_et._7759134064?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,2,44.3 м²,6 м²,28.9 м²,9 из 9,,,изолированные,2.6 м,раздельный,во двор,евро,,кухня,,свободная,возможна ипотека,панельный,1970,9,1,нет,"мусоропровод, газ",,,,,,,,,
22400000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_73_m_617_et._7659289837?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,1,73 м²,21 м²,,6 из 17,лоджия,"гардеробная, панорамные окна",,3 м,"совмещенный, раздельный",на улицу,дизайнерский,есть,,кондиционер,свободная,возможна ипотека,монолитно-кирпичный,2023,17,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
10800000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_912_et._7439663244?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,1,40 м²,8.3 м²,21 м²,9 из 12,балкон,,,2.6 м,раздельный,на улицу,требует ремонта,,,,свободная,возможна ипотека,панельный,,12,1,,,,,,,,,,,
25000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_74_m_1025_et._7831205244?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,3,74 м²,15 м²,40 м²,10 из 25,,,изолированные,3 м,раздельный,,требует ремонта,,,,свободная,возможна ипотека,монолитный,2024,25,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
45500000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_107_m_1823_et._7778320375?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1N2xVQTFaUFhkRElQRm94Ijt9a6kCMj8AAAA,4,107 м²,19 м²,,18 из 23,,,изолированные,,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитный,2000,23,3,2,консьерж,закрытая территория,подземная,,,,,,,
